transaction_id,Amount,transactionDate,type
1,"$7,974.64 ",1/18/2024,Paypal
2,"$8,631.78 ",1/31/2024,Paypal
3,"$6,162.74 ",1/24/2024,Paypal
4,"$8,976.06 ",3/6/2024,Paypal
5,"$6,298.00 ",2/19/2024,Paypal
6,"$7,862.39 ",1/16/2024,Bank Transfer
7,"$6,949.12 ",1/9/2024,Bank Transfer
8,"$7,466.26 ",2/11/2024,Paypal
9,"$8,626.38 ",2/11/2024,Cash
10,"$6,587.35 ",3/8/2024,Paypal
11,"$6,387.75 ",2/28/2024,Bank Transfer
12,"$5,942.58 ",2/1/2024,Paypal
13,"$9,421.74 ",2/26/2024,Cash
14,"$5,216.05 ",1/25/2024,Bank Transfer
15,"$5,157.99 ",1/18/2024,Others
16,"$6,412.63 ",1/12/2024,Cash
17,"$7,580.60 ",1/8/2024,Cash
18,"$7,490.57 ",2/24/2024,Others
19,"$6,734.26 ",2/15/2024,Paypal
20,"$8,253.05 ",3/1/2024,Others
21,"$7,840.44 ",3/2/2024,Others
22,"$7,163.75 ",2/12/2024,Others
23,"$8,898.94 ",3/6/2024,Cash
24,"$7,571.37 ",1/11/2024,Bank Transfer
25,"$9,559.48 ",1/25/2024,Others
26,"$9,094.29 ",3/6/2024,Paypal
27,"$9,361.90 ",2/22/2024,Others
28,"$6,334.69 ",2/24/2024,Others
29,"$6,095.44 ",2/11/2024,Card
30,"$6,872.59 ",2/20/2024,Paypal
31,"$5,145.43 ",2/29/2024,Others
32,"$6,158.86 ",1/23/2024,Others
33,"$7,419.85 ",1/29/2024,Others
34,"$8,947.38 ",3/7/2024,Cash
35,"$5,028.18 ",2/1/2024,Others
36,"$8,480.62 ",3/8/2024,Others
37,"$9,018.69 ",1/14/2024,Cash
38,"$6,639.15 ",2/20/2024,Paypal
39,"$9,632.20 ",2/1/2024,Paypal
40,"$9,664.84 ",1/19/2024,Card
41,"$7,988.24 ",2/18/2024,Card
42,"$9,488.09 ",2/10/2024,Card
43,"$8,568.59 ",2/6/2024,Card
44,"$7,214.52 ",2/3/2024,Card
45,"$9,774.77 ",2/23/2024,Card
46,"$7,141.50 ",2/10/2024,Cash
47,"$5,299.80 ",1/29/2024,Others
48,"$8,472.51 ",1/15/2024,Paypal
49,"$6,176.87 ",2/24/2024,Paypal
50,"$8,196.09 ",2/26/2024,Paypal
51,"$9,871.57 ",1/11/2024,Card
52,"$6,385.80 ",1/16/2024,Cash
53,"$8,101.34 ",2/11/2024,Card
54,"$9,822.30 ",1/30/2024,Card
55,"$7,397.84 ",1/11/2024,Bank Transfer
56,"$6,432.34 ",1/8/2024,Card
57,"$5,149.37 ",2/2/2024,Others
58,"$6,817.27 ",1/11/2024,Card
59,"$8,723.80 ",1/23/2024,Paypal
60,"$8,954.50 ",2/25/2024,Others
61,"$8,099.71 ",2/29/2024,Paypal
62,"$9,695.41 ",1/21/2024,Card
63,"$6,452.95 ",2/2/2024,Paypal
64,"$6,833.17 ",2/25/2024,Card
65,"$7,242.03 ",2/6/2024,Paypal
66,"$7,049.74 ",2/8/2024,Card
67,"$6,587.03 ",1/2/2024,Cash
68,"$6,905.19 ",2/22/2024,Paypal
69,"$9,967.40 ",1/20/2024,Bank Transfer
70,"$9,225.25 ",1/16/2024,Card
71,"$6,714.61 ",1/2/2024,Card
72,"$7,636.33 ",2/29/2024,Card
73,"$6,042.84 ",1/29/2024,Paypal
74,"$8,905.46 ",1/1/2024,Bank Transfer
75,"$7,784.55 ",2/11/2024,Others
76,"$5,170.13 ",2/24/2024,Others
77,"$8,787.66 ",1/26/2024,Card
78,"$5,571.13 ",2/10/2024,Bank Transfer
79,"$5,111.58 ",2/4/2024,Card
80,"$8,833.97 ",2/22/2024,Cash
81,"$8,068.11 ",2/25/2024,Cash
82,"$5,893.35 ",1/19/2024,Others
83,"$7,022.60 ",2/16/2024,Card
84,"$9,228.47 ",1/29/2024,Paypal
85,"$6,772.03 ",2/22/2024,Paypal
86,"$7,994.03 ",1/15/2024,Bank Transfer
87,"$5,643.98 ",1/21/2024,Card
88,"$5,850.63 ",2/16/2024,Cash
89,"$5,351.27 ",1/12/2024,Bank Transfer
90,"$9,443.93 ",2/23/2024,Others
91,"$5,388.63 ",2/17/2024,Card
92,"$5,495.60 ",1/28/2024,Card
93,"$8,535.96 ",2/11/2024,Bank Transfer
94,"$7,344.15 ",1/10/2024,Bank Transfer
95,"$9,945.91 ",1/26/2024,Bank Transfer
96,"$9,993.18 ",2/12/2024,Card
97,"$7,041.40 ",1/21/2024,Others
98,"$5,794.80 ",2/8/2024,Others
99,"$8,777.83 ",3/9/2024,Paypal
100,"$7,815.11 ",3/9/2024,Cash
101,"$8,795.72 ",2/29/2024,Others
102,"$6,101.62 ",2/22/2024,Others
103,"$6,213.42 ",1/28/2024,Paypal
104,"$6,086.21 ",2/2/2024,Card
105,"$5,341.05 ",1/5/2024,Paypal
106,"$7,389.55 ",3/8/2024,Others
107,"$8,678.77 ",2/6/2024,Card
108,"$7,582.73 ",1/8/2024,Bank Transfer
109,"$9,242.29 ",1/28/2024,Cash
110,"$9,024.33 ",2/29/2024,Cash
111,"$5,758.86 ",2/2/2024,Bank Transfer
112,"$9,250.03 ",2/5/2024,Bank Transfer
113,"$9,033.29 ",2/16/2024,Cash
114,"$7,544.28 ",1/20/2024,Card
115,"$8,119.19 ",1/7/2024,Paypal
116,"$8,904.43 ",1/12/2024,Others
117,"$6,363.87 ",1/12/2024,Bank Transfer
118,"$8,097.63 ",2/26/2024,Cash
119,"$5,498.40 ",1/16/2024,Others
120,"$5,604.09 ",1/26/2024,Others
